Track ID,accousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
0lZk8fjx0u7hRwEgs7sOKW,0.22,0.938,182400,0.433,0,1,0.0856,-8.156,1,0.0478,99.988,4,0.642,2
2uEuo87JC9tc1dzmPUtOxj,0.406,0.653,232053,0.828,0,5,0.11,-4.502,0,0.312,75.684,4,0.709,3
5USsRaiqL1RNKRm1fTJ3JM,0.93,0.582,263442,0.109,0,9,0.167,-14.67,0,0.0396,131.713,3,0.507,2
1GJfGfPsdDI574KOQtmn9v,0.000164,0.434,234360,0.981,0.00188,11,0.283,-6.476,1,0.13,174.993,4,0.372,1
4R5CbcEOoYA5CWqEqQAQp7,0.00123,0.449,218511,0.885,0,2,0.299,-5.497,0,0.0672,120.162,4,0.32,2
1gtJz7BBSg4SZkOtw2GULB,0.188,0.879,212440,0.701,0,11,0.319,-5.254,0,0.144,123.969,4,0.723,2
1tmblFgOwgCOVqf1yA9crj,0.133,0.957,145277,0.731,0,2,0.0921,-4.311,1,0.113,107.999,4,0.829,2
20bkFpRphvtLtj5p9vJ491,0.303,0.681,164747,0.709,0,0,0.449,-3.808,0,0.0868,136.815,4,0.608,1
6k7bhsnDWywB3wbTKtqem9,0.278,0.617,185625,0.694,3.51E-05,6,0.286,-4.516,1,0.0399,127.968,4,0.426,2
2ESjIfnnTAstEdiJQNnLnf,0.051,0.822,201331,0.871,0.458,1,0.0877,-3.42,1,0.0487,122.998,4,0.96,2
4FwrqmOpws9JTH0WTo4vJ2,0.596,0.471,171800,0.62,0,7,0.323,-6.855,0,0.0327,115.91,4,0.619,2
0iBrShANZfygvF8ItLgI5N,0.617,0.449,18061,0.847,0,5,0.419,-16.359,1,0.674,106.369,3,0.238,1
5WudOQLpFH9yK66mPGWxRT,0.161,0.547,368747,0.857,0.0574,7,0.973,-10.912,0,0.0589,117.057,4,0.353,1
6fuAuAf3hKw0DIhPjhF5Jw,0.428,0.512,188000,0.625,0,9,0.346,-6.097,1,0.152,92.976,4,0.685,1
06GEiLmDCZWEX5kKI6ma7f,0.77,0.77,29750,0.369,0,1,0.167,-6.047,1,0.227,95.092,4,0.201,1
