Track ID,accousticness,danceability,duration,energy,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
0tYHqwTW4s6VuPWDSD7n7K,0.175,0.885,142582,0.641,0,1,0.641,0.234,-4.455,1,0.351,91.167,4,0.201,65
6Ixib4uv89k2qWTy5oriQB,0.00403,0.263,234733,0.717,5.45e-05,1,0.717,0.296,-4.901,1,0.033,97.801,3,0.268,31
11hHudhQlIjuxRAk1lcE78,0.0528,0.791,206900,0.733,4.47e-05,1,0.733,0.103,-7.043,1,0.0466,105.025,4,0.689,17
09XNKV5GjHZDX5iVBJQdRq,0.803,0.622,187440,0.332,0.00173,2,0.332,0.0872,-9.65,1,0.0357,115.97,4,0.148,41
04669ewO9hOqQsIrb9j2Qq,0.0228,0.758,216573,0.464,0.535,8,0.464,0.147,-10.375,1,0.052,123.03,4,0.222,26
5bMf05wChCR6NzZBka2vQg,0.000537,0.316,193012,0.951,0.0771,1,0.951,0.123,-4.923,1,0.129,127.938,4,0.371,33
2btx0gkQ1ufM3g5OXYO81S,0.21,0.726,248067,0.574,0.000262,0,0.574,0.128,-9.892,0,0.0596,116.94,4,0.377,7
5V2AYV3kQ6PLMtDpRrzJMX,0.0132,0.499,249880,0.916,0,0,0.916,0.107,-4.513,0,0.12,149.926,3,0.421,28
5btaVjrLBxTvXNmCv5DrW2,0.0753,0.788,183280,0.703,6.13e-05,1,0.703,0.333,-5.986,0,0.127,104.049,4,0.442,60
5XWCc9wQes7X5uyYH9h5JR,0.356,0.755,205440,0.74,1.05e-05,0,0.74,0.0994,-5.354,0,0.04,116.946,4,0.33,63
2RIFXN6JJZFnDVbVbNDdoi,0.146,0.671,210013,0.762,0,4,0.762,0.108,-6.699,1,0.0591,120.011,4,0.384,22
46Lx5epWOQBA3J86ovnxmV,0.384,0.818,226859,0.57,0.000102,10,0.57,0.19,-8.067,0,0.285,126.938,4,0.561,63
4iiOb1mdmh0PCYI4BZYUU9,0.441,0.543,214472,0.541,0,2,0.541,0.106,-5.164,0,0.123,112.308,3,0.378,54
0QPjoIP9zKPH6EYtGAKNY3,0.0694,0.64,180300,0.884,3.09e-06,7,0.884,0.218,-3.062,0,0.278,200.15,4,0.531,47
7FJ7lHtpbWvPKe3zCoeAWC,0.0725,0.641,248493,0.792,0.513,7,0.792,0.175,-6.453,1,0.0272,87.069,4,0.67,58
4T0ppj92WsOK0oSQWLqe3h,0.152,0.638,218573,0.831,3.15e-05,4,0.831,0.159,-3.24,1,0.0339,106.031,4,0.352,39
4pYgERdZmiCMpvuhjoF17G,0.000459,0.514,257893,0.924,0.00777,0,0.924,0.127,-4.958,0,0.0446,132.021,4,0.68,1
70khXICDeTTxgYtw3EysKH,0.248,0.721,208493,0.459,0,4,0.459,0.212,-6.408,1,0.032,119.914,4,0.46,69
7elnYvM2qeUCDVeJv3Fv58,0.356,0.623,198720,0.592,0.0431,11,0.592,0.142,-7.068,1,0.0382,104.963,4,0.276,41
7IFUqpAJRWk1gMWLrK0L77,0.000204,0.431,274107,0.875,0.425,7,0.875,0.0328,-6.541,1,0.0415,172.042,4,0.764,40
6sh1mcaE1lrFtkCXTWTxO7,0.943,0.635,274227,0.132,0.518,3,0.132,0.0984,-19.55,0,0.0329,91.323,4,0.369,34
4XgKPTOSyRbXsXQgiNhzfr,0.116,0.313,334773,0.417,0.245,1,0.417,0.119,-9.954,0,0.0367,109.978,4,0.0611,12
2KN0Kgfb15aNLR0p2J4pkr,0.372,0.609,281307,0.536,0.000484,11,0.536,0.108,-8.076,1,0.0375,154.067,4,0.469,56
3W4JFzOQdo5J2Wgt9DFg24,0.257,0.827,240093,0.643,0,10,0.643,0.094,-6.414,0,0.0899,95.965,4,0.433,58
7I1N5VysDvI8OUV35jkJOb,0.15,0.513,195830,0.725,0,4,0.725,0.0841,-4.949,1,0.036,122.886,4,0.136,32
06EAtSDu3KSoi4fbA3ZjoB,0.0084,0.466,286627,0.706,0.00163,6,0.706,0.223,-7.943,0,0.0544,101.009,4,0.149,49
00z6jj3wt6zP1UE3NrWy13,0.0359,0.654,190827,0.603,0,8,0.603,0.283,-5.671,1,0.0307,126.986,4,0.314,23
24l8OZ7rNxUPd1RjLwSatz,0.961,0.575,217600,0.136,3.63e-06,8,0.136,0.126,-12.295,1,0.0477,119.294,4,0.331,47
0oGPVK8SMOXinOPHTN5swT,0.811,0.434,433413,0.233,0.000295,0,0.233,0.162,-13.928,1,0.0376,105.924,4,0.374,26
6jTBF0xT1o61QATHMzPZ1o,0.000909,0.553,189654,0.963,9.29e-05,6,0.963,0.353,-4.113,0,0.205,138.062,4,0.583,42
6dnuiEx1GXh1G1Rpehj0Dn,0.0196,0.661,208435,0.921,1.65e-05,6,0.921,0.213,-2.773,0,0.059,114.941,4,0.224,51
6UbuynmA19J8iFzUWjY65U,0.000579,0.372,181897,0.92,0,4,0.92,0.0659,-6.39,0,0.168,183.387,4,0.591,13
6u9aD8ovEo4SJY76litOCd,0.0174,0.339,238662,0.943,0,0,0.943,0.0593,-4.285,1,0.125,184.999,3,0.427,56
7u5FRq5CT9KeiynkXA6dbK,0.0601,0.38,133440,0.571,0.0417,5,0.571,0.0964,-9.268,1,0.0978,173.894,4,0.592,28
